ActionId,SourceType,MobDescription,LocationDescription,X,Y,Level,Note
23277,treasure,运河恐甲蚂蜓 ,运河宝物库深层,,,70,寻宝：深层传送魔纹的地图（深绿）
23278,raid,老者,欧米茄零式时空狭缝 德尔塔幻境1,,,70,
23278,raid,老者,欧米茄时空狭缝 德尔塔幻境1,,,70,
23279,raid,欧米茄,欧米茄零式时空狭缝 阿尔法幻境3,,,70,
23279,raid,欧米茄,欧米茄时空狭缝 阿尔法幻境3,,,70,
23280,special,学习 100 个技能后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,70,
23281,fate,簇生陀鲁婆,迷津：晶心冻魄,,,85,
23281,hunt,泛光晶体,基拉巴尼亚湖区,,,70,
23281,map,陀鲁婆,基拉巴尼亚湖区,22,22,69,
23281,treasure,运河陀鲁婆,运河宝物库,,,70,寻宝：陈旧的瞪羚革地图（G10）
23281,treasure,运河陀鲁婆,运河宝物库深层,,,70,寻宝：深层传送魔纹的地图（深绿）
23282,dungeon,凯尔派,沉没神殿斯卡拉遗迹,,,70,BOSS #1
23283,dungeon,赛太岁,风水灵庙岩燕庙,,,70,1号boss前、3号boss前小怪不会使用，仅2号boss前过道的1体会使用
23284,map,追猎种陆行鸟,龙堡参天高地,34.7,28.8,53,
23284,map,追猎种陆行鸟,龙堡参天高地,37.4,23.6,53,
23284,raid,?,失落之都拉巴纳斯塔,,,70,
23285,special,学习 100 个技能后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,70,
23286,raid,欧米茄,欧米茄零式时空狭缝 阿尔法幻境3,,,70,
23286,raid,欧米茄,欧米茄时空狭缝 阿尔法幻境3,,,70,同一副本还有专属技能 2火炎放射 101生成外设
23287,dungeon,齐天大圣,风水灵庙岩燕庙,,,70,BOSS #3
23288,trail,朱雀,朱雀诗魂战,,,70,
23288,trail,朱雀,朱雀镇魂战,,,70,
23290,trail,月读,月读歼灭战,,,70,
23290,trail,月读,月读幽夜歼灭战,,,70,
34563,hunt,小小杀手,珂露西亚岛,,,80,
34563,map,大哥布林,珂露西亚岛,33,33,70,
34563,map,大哥布林,珂露西亚岛,37,28,70,
34563,map,大哥布林守卫,珂露西亚岛,26,10,70,
34564,dungeon,大犰狳,避暑离宫马利卡大井,,,77,BOSS#1。即死效果与比例伤害有效
34565,hunt,金刚鸠摩罗,萨维奈岛,,,90,
34565,map,硬鳞犰狳,安穆·艾兰,17,30,77,疑似生命值达到50%时使用
34565,map,长尾犰狳,安穆·艾兰,17,30,77,体力降到25%时使用
34566,dungeon,群落犰狳,避暑离宫马利卡大井,,,77,BOSS#1召唤的小怪。即死效果与比例伤害有效
34566,map,滑溜犰狳,安穆·艾兰,32,9,70,
34567,special,达到 80 级后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,80,
34568,dungeon,幻光狂战士,暗影决战诺弗兰特,,,80,BOSS #3
34569,dungeon,土泥人,魔术工房玛托雅工作室,,,80,BOSS #1
34570,dungeon,宫殿的隐者,魔法宫殿宇宙宫,,,80,BOSS #1
34571,trail,红宝石神兵,红宝石神兵狂想作战,,,80,PART.1
34571,trail,红宝石神兵,红宝石神兵破坏作战,,,80,PART.1
34572,trail,缇坦妮雅,缇坦妮雅歼殛战,,,80,
34572,trail,缇坦妮雅,缇坦妮雅歼灭战,,,73,
34573,raid,至尊伊甸,伊甸零式希望乐园 觉醒之章1,,,80,
34573,raid,至尊伊甸,伊甸希望乐园 觉醒之章1,,,80,
34574,dungeon,得到宽恕的猥亵,伪造天界格鲁格火山,,,79,BOSS #3
34575,special,学习 120 个技能后可从[乌尔达哈来生回廊]的[异男子嘎希迦]处获得[天青图腾],,,,80,
34575,trail,萨菲洛特,萨菲洛特歼殛战,,,60,
34576,trail,无瑕灵君,无瑕灵君歼殛战,,,80,
34576,trail,无瑕灵君,无瑕灵君歼灭战,,,79,
34577,raid,伊甸之约,伊甸零式希望乐园 再生之章4,,,80,
34577,raid,伊甸之约,伊甸希望乐园 再生之章4,,,80,
34578,dungeon,美眼 因克·佐恩,水妖幻园多恩美格禁园,,,73,BOSS #1
34579,dungeon,卢格斯,魔法宫殿宇宙宫,,,80,BOSS #3
34580,dungeon,水滴精,魔术工房玛托雅工作室,,,80,BOSS #2转场技能
34581,dungeon,至大灾兽,末日暗影亚马乌罗提,,,80,BOSS #3
34582,trail,缇坦妮雅,缇坦妮雅歼殛战,,,80,
34582,trail,缇坦妮雅,缇坦妮雅歼灭战,,,73,
